id	project	Faculty	Countries	Website	Start Date	End Date	desc	Topics	Sponsors	Collaborators	Dept & School
300	Doubly disenfranchised? How Race/Ethnicity and Religiosity Shape Muslim American Political Incorporation	Read, Jen'nan	United States		July 2008	Completed	This study will draw from the only existing nationally representative data on Muslim Americans to identify the factors that influence their political incorporation. Building on theories of raciallethnic and immigrant political incorporation, this study will examine the extent to which South Asian, Arab, and African American Muslims differ in their political attitudes and behaviors and assess whether and how socioeconomic, demographic, and cultural differences between these groups explain observed variations in their attitudes and behaviors. Further, this study will expand theories on the religion-politics connection by examining how different dimensions of religious identity (e.g., personal, organizational, and political) affect their political incorporation. The primary purpose of the study is to examine the factors that influence the political incorporation of Muslim Americans and assess whether and how this varies by racial and ethnic group membership. Specifically, the project aims to answer four related questions: 1. To what extent do South Asian, Arab, and African American Muslims differ in their political attitudes and behaviors? 2. To what extent do socioeconomic, demographic, and cultural differences between these groups explain observed variations in their attitudes and behaviors? 3. To what extent do different dimensions of religious identity (e.g., personal, organizational, and political) affect their political incorporation? and 4. To what extent do the factors that produce differences between groups generate differences within each group?	Impacts of race and culture	Russell Sage Foundation		
301	Ebola Clinical Research Consortium	Woods, Chris				Ongoing	Develop and implement clinical trials for Ebola virus disease (EVD) * EVD-001 Collection of EVD survivor plasma * EVD-002 Clinical Trial of EVD survivor plasma in EVD disease * EVD-003 Response Adaptive Randomization Platform Trial for efficient evaluation of Ebola virus treatmentsBerry SM, Petzold EA, Dull P, Thielman NM, Cunningham CK, Corey GR, McClain MT, Hoover DL, Russell J, Griffiss JM, Woods CW. A response adaptive randomization platform trial for efficient evaluation of Ebola virus treatments: A model for pandemic response. Clin Trials. 2016 Jan 14. pii: 1740774515621721. [Epub ahead of print] PMID: 26768569 Thielman NM, Cunningham CK, Woods CW, Petzold E, Sprenz M, Russell J. Ebola clinical trials: Five lessons learned and a way forward. Clin Trials. 2016 Jan 14. pii: 1740774515619897. [Epub ahead of print] No abstract available. PMID: 26768559	Infectious diseases	Bill & Melinda Gates Foundation	Hubert-Yeargan Center	
302	Subjective Expectations: New methods for elicitation using interactive touchscreens and applications to decision making under uncertainty	Mohanan, Manoj	India			Ongoing	To Develop, validate and implement a touchscreen based application to measure subjective expectations. To study role of subjective expectations in decision making under uncertainty in healthcare settings, and the role of information in updating expectations.	Digital health,Health policy and systems,Health economics			
303	Effect of price subsidies and testing information on demand for antimalarial drugs in Kenya	Mohanan, Manoj	Kenya			Ongoing	Ongoing project led by Wendy O’Meara (DGHI & Moi U.) aims to understand the effect of conditional subsidies and RDT test diagnosis on appropriate treatment consumption for malaria. Status: We recently completed field work for pilot phase in Bungoma East area of Kenya and are in manuscript writing phase. In preparation for development and launch of phase 2, where the model will be implemented on a larger scale.Will inform structure of subsidies for antimalarials in Kenya and other countries.	Health policy and systems,Malaria,Monitoring and evaluation	NIH-National Institute of Allergy and Infectious Diseases		
304	Analysis of Provider Payment Reforms on Advancing China&rsquo;s Health (APPROACH): An Evaluation of County Hospitals	Mohanan, Manoj	China			Ongoing	Studying Effect of Hospital Payment Reforms in ChinaWill inform hospital payment policies in various countries	Health policy and systems,Monitoring and evaluation,Health economics		World Bank	
305	Attitudes and Knowledge in Reference to HIV/AIDS Among Public Health Midwives in Sri Lanka	Ostbye (Østbye), Truls	Sri Lanka			Ongoing	Community survey assessing knowledge and attitudes to HIV/AIDS among health professionals in an area with low HIV prevalence.Could influence training of public health midwives.	Impacts of race and culture,HIV/AIDS	Duke Global Health Institute	Ruhuna University	
306	Caregivers of School Age Children with Downs Syndrome in Sri Lanka	Ostbye (Østbye), Truls	Sri Lanka			Ongoing	Assess health and social care needs of children with downs syndrome and their primary caregivers in Sri Lanka.	Pediatrics,Epidemiology,Mental health	Duke Global Health Institute	Ruhuna University	
307	Prehospitalization Care and Transport of Patients with Severe Injuries in Southern Sri Lanka	Ostbye (Østbye), Truls	Sri Lanka			Ongoing	Assess prehospitalization care and transport of patients with severe injuries in an area of southern sri lanka without ambulance services and relate these factors to subsequent outcomes.Suggest better systems for prehospitalzation care and transport.	Health policy and systems,Injuries	Duke Global Health Institute	ruhuna university	
308	Chinese Medical Diplomacy in East Africa	Barnes, Nicole	Tanzania			Ongoing	To research the history of Chinese medical aid to Africa beginning in the 1950s, and conduct oral interviews with local patients and Chinese practitioners currently stationed in Tanzania, with the objective of discovering the nature and outcomes of Chinese health philanthropy.	Health care access,Impacts of race and culture,Health policy and systems			
309	The Role of Mission Hospitals in African Health Systems: Case Studies from the Nile River Basin	Toole, David	Uganda			Ongoing	Prominent among the faith-based institutions that provide health care in sub-Saharan Africa are mission hospitals established by Christian missionaries from the late nineteenth century to the present, as well as hospitals established by Africans as part of the legacy of Christian missions. By focusing on pioneer and legacy mission hospitals in one region (the upper Nile River Basin) of sub-Saharan Africa, this research project seeks to answer three broad questions concerning the current state of African health systems. (1) How did things come to be this way? How have faith-based contributions to these health systems evolved from the earliest mission hospitals in the nineteenth century to now? (2) What precisely is the current role of these faith-based networks in African health systems? How are they financed? How are they managed? What portion of care do they provide, in what varying geographical contexts? What are the political, economic, and social factors that define their relationships with government, on one hand, and with the communities they serve, on the other? (3) Given their historical and current role in these health systems, what might the future hold? How might the past and the present realities of mission hospitals and their legacy inform the future of African health systems?Research in progress.In many countries, these hospitals anchor a large network of health facilities. In Uganda, for example, the Catholic Church and a small collection of protestant denominations, manage not only 47 hospitals, but more than 500 lower-level health facilities, many of them providing the only available care for Uganda's predominately rural population. This heavy dependence of national health systems in sub-Saharan Africa on faith-based facilities funded largely by external sources makes these systems vulnerable, especially when these facilities themselves are in crisis, as is increasingly the case with many mission hospitals. This research will inform debates about the ongoing role of faith-based facilities as part of national health systems in sub-Saharan Africa.	Health care access,Impacts of race and culture,Health policy and systems,Immigration,Religion,Violence		Uganda Catholic Medical Burueau	
